Ciudad,Fecha,Gasolina MC ($/gal),ACPM ($/gal)
Armenia,2022-01-01,9362.0,9234.0
Armenia,2022-02-01,9362.0,9234.0
Armenia,2022-03-01,9360.0,9228.0
Armenia,2022-10-01,9719.0,9378.0
Armenia,2022-11-01,9919.0,9378.0
Armenia,2022-12-01,10115.0,9378.0
Armenia,2023-01-01,10514.0,9441.0
Armenia,2023-02-01,10768.0,9441.0
Armenia,2023-04-01,11566.0,9441.0
Armenia,2023-05-01,12166.0,9441.0
Armenia,2023-06-01,12752.0,9441.0
Armenia,2023-07-01,13352.0,9441.0
Armenia,2023-08-01,13952.0,9441.0
Armenia,2023-09-01,14352.0,9441.0
Armenia,2023-10-01,14352.0,9441.0
Armenia,2023-11-01,14953.0,9441.0
Armenia,2024-02-01,15796.0,9607.0
Armenia,2024-04-01,15824.0,9704.0
Armenia,2024-06-01,15868.0,9749.0
Armenia,2024-08-01,15955.0,11755.0
Armenia,2024-09-01,15955.0,10247.0
Armenia,2024-10-01,15956.0,10231.0
Armenia,2024-11-01,15956.0,10231.0
Armenia,2024-12-01,15956.0,10631.0
Armenia,2025-01-01,16048.0,10820.0
Barranquilla,2022-01-01,9058.0,8867.0
Barranquilla,2022-02-01,9058.0,8867.0
Barranquilla,2022-03-01,9056.0,8864.0
Barranquilla,2022-07-01,9208.0,9014.0
Barranquilla,2022-10-01,9408.0,9014.0
Barranquilla,2022-11-01,9608.0,9014.0
Barranquilla,2022-12-01,9808.0,9014.0
Barranquilla,2023-01-01,10198.0,9060.0
Barranquilla,2023-02-01,10449.0,9060.0
Barranquilla,2023-04-01,11247.0,9060.0
Barranquilla,2023-05-01,11847.0,9060.0
Barranquilla,2023-06-01,12444.0,9060.0
Barranquilla,2023-07-01,13044.0,9060.0
Barranquilla,2023-08-01,13644.0,9060.0
Barranquilla,2023-09-01,14044.0,9060.0
Barranquilla,2023-10-01,14044.0,9060.0
Barranquilla,2023-11-01,14644.0,9060.0
Barranquilla,2024-01-01,15234.0,9051.0
Barranquilla,2024-02-01,15489.0,9211.0
Barranquilla,2024-04-01,15517.0,9308.0
Barranquilla,2024-06-01,15562.0,9353.0
